31757,Gold_Devil_Wings,suit,5,20,,100,,3,,4,0xFFFFFFFF,7,2,001,,0,1,1731,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}
31758,Gold_Devil_Horn,suit,5,20,,100,,3,,4,0xFFFFFFFF,7,2,256,,0,1,1732,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}
31759,Gold_Devil_Tail,suit,5,20,,100,,3,,4,0xFFFFFFFF,7,2,512,,0,1,1733,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}

31760,Silver_Devil_Wings,suit,5,20,,100,,3,,4,0xFFFFFFFF,7,2,001,,0,1,1734,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}
31761,Silver_Devil_Horn,suit,5,20,,100,,3,,4,0xFFFFFFFF,7,2,256,,0,1,1735,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}
31762,Silver_Devil_Tail,suit,5,20,,100,,3,,4,0xFFFFFFFF,7,2,512,,0,1,1736,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}

31763,Purple_Devil_Wings,suit,5,20,,100,,3,,4,0xFFFFFFFF,7,2,256,,0,1,1737,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}
31764,Purple_Devil_Tail,suit,5,20,,100,,3,,4,0xFFFFFFFF,7,2,256,,0,1,1738,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}
31765,Purple_Devil_Horn,suit,5,20,,100,,3,,4,0xFFFFFFFF,7,2,256,,0,1,1739,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}

31767,Blue_Devil_Wings,Blue_Devil_Wings,5,20,,100,,3,,4,0xFFFFFFFF,7,2,256,,0,1,1741,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}
31768,Blue_Devil_Horn,Blue_Devil_Horn,5,20,,100,,3,,4,0xFFFFFFFF,7,2,256,,0,1,1742,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}
31769,Blue_Devil_Tail,Blue_Devil_Tail,5,20,,100,,3,,4,0xFFFFFFFF,7,2,256,,0,1,1743,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}

31770,Cyan_Devil_Horns,Cyan_Devil_Horns,5,20,,100,,3,,4,0xFFFFFFFF,7,2,256,,0,1,1744,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}
31771,Cyan_Devil_Wings,Cyan_Devil_Wings,5,20,,100,,3,,4,0xFFFFFFFF,7,2,256,,0,1,1745,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}
31772,Cyan_Devil_Tail,Cyan_Devil_Tail,5,20,,100,,3,,4,0xFFFFFFFF,7,2,256,,0,1,1746,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}

31773,Green_Devil_Wings,Green_Devil_Wings,5,20,,100,,3,,4,0xFFFFFFFF,7,2,256,,0,1,1747,{ bonus bAllStats,90; bonus bLuk,-80; bonus bVit,-80; bonus bSpeedAddRate,20; },{},{}
